Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-04-2026 12:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
397,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC",18.00
398,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",82.00
399,,Bathinda,"Hardev Nagar, Bathinda - PPCB",90.00
400,,Jalandhar,"Civil Line, Jalandhar - PPCB",70.00
401,,Khanna,"Kalal Majra, Khanna - PPCB",53.00
402,,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",91.00
403,,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",140.00
404,,Patiala,"Model Town, Patiala - PPCB",81.00
405,,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",36.00
406,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",101.00
407,,Alwar,"Moti Doongri, Alwar - RSPCB",87.00
408,,Banswara,"Rati Talai, Banswara - RSPCB",Insufficient data available in last 24 hours.
409,,Baran,"Bamboliya, Baran - RSPCB",193.00
410,,Barmer,"Railway Colony, Barmer - RSPCB",96.00
411,,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",230.00
412,,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",133.00
413,,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",200.00
414,,,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",266.00
415,,Bikaner,"MM Ground, Bikaner - RSPCB",146.00
416,,Bundi,"New Colony, Bundi - RSPCB",113.00
417,,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",140.00
418,,Churu,"Subash Chowk, Churu - RSPCB",106.00
419,,Dausa,"Khatikan Mohalla, Dausa - RSPCB",96.00
420,,Dholpur,"Raja Ganj, Dholpur - RSPCB",77.00
421,,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",78.00
422,,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",104.00
423,,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",107.00
424,,,"Mansarovar Sector-12, Jaipur - RSPCB",148.00
425,,,"Police Commissionerate, Jaipur - RSPCB",94.00
426,,,"RIICO Sitapura, Jaipur - RSPCB",171.00
427,,,"Sector-2 Murlipura, Jaipur - RSPCB",112.00
428,,,"Shastri Nagar, Jaipur - RSPCB",119.00
429,,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",Insufficient data available in last 24 hours.
430,,Jalore,"Mudtra Sili, Jalore - RSPCB",88.00
431,,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",114.00
432,,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",126.00
433,,Jodhpur,"Collectorate, Jodhpur - RSPCB",109.00
434,,,"Digari Kalan, Jodhpur - RSPCB",181.00
435,,,"Jhalamand, Jodhpur - RSPCB",99.00
436,,,"Mandor, Jodhpur - RSPCB",91.00
437,,,"Samrat Ashok Udhyan, Jodhpur - RSPCB",125.00
438,,Karauli,"Satyawati Vihar, Karauli - RSPCB",159.00
439,,Kota,"Dhanmandi, Kota - RSPCB",119.00
440,,,"Nayapura, Kota - RSPCB",101.00
441,,,"Shrinath Puram, Kota - RSPCB",79.00
442,,Nagaur,"Karni Colony, Nagaur - RSPCB",132.00
443,,Pali,"Indira Colony Vistar, Pali - RSPCB",125.00
444,,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",108.00
445,,Rajsamand,"Dhoinda, Rajsamand - RSPCB",83.00
446,,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",203.00
447,,Sikar,"Radhakishan Pura, Sikar - RSPCB",121.00
448,,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",82.00
449,,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",262.00
450,,Tonk,"Shastri Nagar, Tonk - RSPCB",72.00
451,,Udaipur,"Ashok Nagar, Udaipur - RSPCB",108.00
452,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB",60.00
453,Tamil Nadu,Ariyalur,"Keelapalur, Ariyalur - TNPCB",Insufficient data available in last 24 hours.
454,,Chengalpattu,"Crescent University, Chengalpattu - TNPCB",Insufficient data available in last 24 hours.
455,,Chennai,"Alandur Bus Depot, Chennai - CPCB",Insufficient data available in last 24 hours.
456,,,"Arumbakkam, Chennai - TNPCB",42.00
457,,,"Gandhi Nagar_Ennore, Chennai - TNPCB",Insufficient data available in last 24 hours.
458,,,"Kodungaiyur, Chennai - TNPCB",30.00
459,,,"Manali Village, Chennai - TNPCB",42.00
460,,,"Manali, Chennai - CPCB",44.00
461,,,"Perungudi, Chennai - TNPCB",36.00
462,,,"Royapuram, Chennai - TNPCB",37.00
463,,,"Velachery Res. Area, Chennai - CPCB",45.00
464,,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",Insufficient data available in last 24 hours.
465,,,"SIDCO Kurichi, Coimbatore - TNPCB",66.00
466,,Cuddalore,"Kudikadu, Cuddalore - TNPCB",Insufficient data available in last 24 hours.
467,,,"Semmandalam, Cuddalore - TNPCB",Insufficient data available in last 24 hours.
468,,Dindigul,"Mendonsa Colony, Dindigul - TNPCB",Insufficient data available in last 24 hours.
469,,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",119.00
470,,Hosur,"SIPCOT Phase-1, Hosur - TNPCB",Insufficient data available in last 24 hours.
471,,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",Insufficient data available in last 24 hours.
472,,Karur,"Kamadenu Nagar, Karur - TNPCB",Insufficient data available in last 24 hours.
473,,Madurai,"Uchapatti, Madurai - TNPCB",Insufficient data available in last 24 hours.
474,,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB",Insufficient data available in last 24 hours.
475,,Namakkal,"Ponnusamy Nagar, Namakkal - TNPCB",Insufficient data available in last 24 hours.
476,,Ooty,"Bombay Castel, Ooty - TNPCB",72.00
477,,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB",Insufficient data available in last 24 hours.
478,,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",Insufficient data available in last 24 hours.
479,,Pudukottai,"SIPCOT Nathampannai, Pudukottai - TNPCB",Insufficient data available in last 24 hours.
480,,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",Insufficient data available in last 24 hours.
481,,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB",Insufficient data available in last 24 hours.
482,,Salem,"Sona College of Technology, Salem - TNPCB",Insufficient data available in last 24 hours.
483,,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",Insufficient data available in last 24 hours.
484,,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",82.00
485,,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",Insufficient data available in last 24 hours.
486,,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB",Insufficient data available in last 24 hours.
487,,Tirupur,"Kumaran College, Tirupur - TNPCB",110.00
488,,Vellore,"Vasanthapuram, Vellore - TNPCB",Insufficient data available in last 24 hours.
489,,Virudhunagar,"Collectorate Office, Virudhunagar - TNPCB",Insufficient data available in last 24 hours.
490,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
491,,,"Central University, Hyderabad - TSPCB",29.00
492,,,"ECIL Kapra, Hyderabad - TSPCB",80.00
493,,,"ICRISAT Patancheru, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
494,,,"IDA Pashamylaram, Hyderabad - TSPCB",74.00
495,,,"IITH Kandi, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
496,,,"Kokapet, Hyderabad - TSPCB",87.00
497,,,"Kompally Municipal Office, Hyderabad - TSPCB",88.00
498,,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",94.00
499,,,"New Malakpet, Hyderabad - TSPCB",94.00
500,,,"Ramachandrapuram, Hyderabad - TSPCB",79.00
501,,,"Sanathnagar, Hyderabad - TSPCB",54.00
502,,,"Somajiguda, Hyderabad - TSPCB",85.00
503,,,"Zoo Park, Hyderabad - TSPCB",101.00
504,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",101.00
505,,,"Kunjaban, Agartala - Tripura SPCB",Insufficient data available in last 24 hours.
506,Uttar Pradesh,Agra,"Manoharpur, Agra - UPPCB",141.00
507,,,"Rohta, Agra - UPPCB",133.00
508,,,"Sanjay Palace, Agra - UPPCB",187.00
509,,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",140.00
510,,,"Shahjahan Garden, Agra - UPPCB",127.00
511,,,"Shastripuram, Agra - UPPCB",110.00
512,,Baghpat,"New Collectorate, Baghpat - UPPCB",Insufficient data available in last 24 hours.
513,,,"Sardar Patel Inter College, Baghpat - UPPCB",227.00
514,,Bareilly,"Civil Lines, Bareilly - UPPCB",52.00
515,,,"Rajendra Nagar, Bareilly - UPPCB",83.00
516,,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",202.00
517,,Firozabad,"Nagla Bhau, Firozabad - UPPCB",82.00
518,,,"Vibhab Nagar, Firozabad - UPPCB",111.00
519,,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",164.00
520,,,"Loni, Ghaziabad - UPPCB",281.00
521,,,"Sanjay Nagar, Ghaziabad - UPPCB",188.00
522,,,"Vasundhara, Ghaziabad - UPPCB",186.00
523,,,"Ved Vihar-Loni, Ghaziabad - UPPCB",261.00
524,,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",86.00
525,,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",170.00
526,,,"Knowledge Park - V, Greater Noida - UPPCB",238.00
527,,Hapur,"Anand Vihar, Hapur - UPPCB",184.00
528,,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",66.00
529,,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",86.00
530,,,"IITK, Kanpur - IITK",Insufficient data available in last 24 hours.
531,,,"NSI Kalyanpur, Kanpur - UPPCB",103.00
532,,,"Nehru Nagar, Kanpur - UPPCB",118.00
533,,Khora,"Prashant Garden, Khora - UPPCB",255.00
534,,Khurja,"Kalindi Kunj, Khurja - UPPCB",124.00
535,,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",126.00
536,,,"Gomti Nagar, Lucknow - UPPCB",88.00
537,,,"Kendriya Vidyalaya, Lucknow - CPCB",151.00
538,,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",120.00
539,,,"Lalbagh, Lucknow - CPCB",133.00
540,,,"Talkatora District Industries Center, Lucknow - CPCB",180.00
541,,Meerut,"Ganga Nagar, Meerut - UPPCB",143.00
542,,,"Jai Bhim Nagar, Meerut - UPPCB",151.00
543,,,"Pallavpuram Phase 2, Meerut - UPPCB",91.00
544,,Modinagar ,"SRM University, Modinagar - UPPCB",234.00
545,,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",73.00
546,,,"Eco Herbal Park, Moradabad - UPPCB",98.00
547,,,"Employment Office, Moradabad - UPPCB",106.00
548,,,"Jigar Colony, Moradabad - UPPCB",98.00
549,,,"Kashiram Nagar, Moradabad - UPPCB",94.00
550,,,"Lajpat Nagar, Moradabad - UPPCB",Insufficient data available in last 24 hours.
551,,,"Transport Nagar, Moradabad - UPPCB",86.00
552,,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",116.00
553,,Noida,"Sector - 125, Noida - UPPCB",170.00
554,,,"Sector - 62, Noida - IMD",140.00
555,,,"Sector-1, Noida - UPPCB",170.00
556,,,"Sector-116, Noida - UPPCB",145.00
557,,Prayagraj,"Jhunsi, Prayagraj - UPPCB",90.00
558,,,"Motilal Nehru NIT, Prayagraj - UPPCB",80.00
559,,,"Nagar Nigam, Prayagraj - UPPCB",64.00
560,,Raebareli," Indira Nagar, Raebareli - NTPC Unchahar",Insufficient data available in last 24 hours.
561,,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",105.00
562,,,"Bhelupur, Varanasi - UPPCB",102.00
563,,,"IESD Banaras Hindu University, Varanasi - UPPCB",86.00
564,,,"Maldahiya, Varanasi - UPPCB",108.00
565,,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",104.00
566,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",Insufficient data available in last 24 hours.
567,,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",Insufficient data available in last 24 hours.
568,,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",37.00
569,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",112.00
570,,,"Evelyn Lodge, Asansol - WBPCB",107.00
571,,,"Mahabir Colliery, Asansol - WBPCB",102.00
572,,,"Trivenidevi Bhalotia College, Asansol - WBPCB",109.00
573,,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",58.00
574,,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",94.00
575,,,"PCBL Residential Complex, Durgapur - WBPCB",90.00
576,,,"Womens College_City Center, Durgapur - WBPCB",102.00
577,,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",59.00
578,,Howrah,"Belur Math, Howrah - WBPCB",73.00
579,,,"Botanical Garden, Howrah - WBPCB",57.00
580,,,"Dasnagar, Howrah - WBPCB",57.00
581,,,"Ghusuri, Howrah - WBPCB",84.00
582,,,"Padmapukur, Howrah - WBPCB",32.00
583,,Kolkata,"Ballygunge, Kolkata - WBPCB",49.00
584,,,"Bidhannagar, Kolkata - WBPCB",73.00
585,,,"Fort William, Kolkata - WBPCB",35.00
586,,,"Jadavpur, Kolkata - WBPCB",53.00
587,,,"Rabindra Bharati University, Kolkata - WBPCB",65.00
588,,,"Rabindra Sarobar, Kolkata - WBPCB",43.00
589,,,"Victoria, Kolkata - WBPCB",56.00
590,,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",82.00
