Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-04-2026 12:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
93,,,"IGI Airport (T3), Delhi - IMD",140.00
94,,,"IGNOU_Maidan Garhi, Delhi - DPCC",150.00
95,,,"IHBAS, Dilshad Garden, Delhi - CPCB",191.00
96,,,"IIT Delhi, Delhi - IITM",141.00
97,,,"ITO, Delhi - CPCB",127.00
98,,,"JNU, Delhi - DPCC",111.00
99,,,"Jahangirpuri, Delhi - DPCC",212.00
100,,,"Jawaharlal Nehru Stadium, Delhi - DPCC",147.00
101,,,"Lodhi Road, Delhi - IITM",Insufficient data available in last 24 hours.
102,,,"Lodhi Road, Delhi - IMD",167.00
103,,,"Major Dhyan Chand National Stadium, Delhi - DPCC",114.00
104,,,"Mandir Marg, Delhi - DPCC",139.00
105,,,"Mundka, Delhi - DPCC",199.00
106,,,"NSIT Dwarka, Delhi - CPCB",177.00
107,,,"NSUT Jaffarpur, Delhi - DPCC",183.00
108,,,"Najafgarh, Delhi - DPCC",168.00
109,,,"Narela, Delhi - DPCC",182.00
110,,,"Nehru Nagar, Delhi - DPCC",158.00
111,,,"New Moti Bagh, Delhi - MHUA",71.00
112,,,"North Campus, DU, Delhi - IMD",183.00
113,,,"Okhla Phase-2, Delhi - DPCC",138.00
114,,,"Patparganj, Delhi - DPCC",152.00
115,,,"Punjabi Bagh, Delhi - DPCC",158.00
116,,,"Pusa, Delhi - DPCC",182.00
117,,,"Pusa, Delhi - IMD",244.00
118,,,"R K Puram, Delhi - DPCC",145.00
119,,,"Rohini, Delhi - DPCC",208.00
120,,,"Shadipur, Delhi - CPCB",216.00
121,,,"Sirifort, Delhi - CPCB",139.00
122,,,"Sonia Vihar, Delhi - DPCC",203.00
123,,,"Sri Aurobindo Marg, Delhi - DPCC",104.00
124,,,"Talkatora Garden, Delhi - DPCC",120.00
125,,,"Vivek Vihar, Delhi - DPCC",145.00
126,,,"Wazirpur, Delhi - DPCC",249.00
127,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",124.00
128,,,"Gyaspur, Ahmedabad - IITM",107.00
129,,,"Maninagar, Ahmedabad - GPCB",102.00
130,,,"Raikhad, Ahmedabad - IITM",123.00
131,,,"Rakhial, Ahmedabad - IITM",143.00
132,,,"SAC ISRO Bopal, Ahmedabad - IITM",97.00
133,,,"SAC ISRO Satellite, Ahmedabad - IITM",111.00
134,,,"SVPI Airport Hansol, Ahmedabad - IITM",115.00
135,,,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",Insufficient data available in last 24 hours.
136,,Ankleshwar,"GIDC, Ankleshwar - GPCB",111.00
137,,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",113.00
138,,Gandhinagar,"GIFT City, Gandhinagar - IITM",191.00
139,,,"IIPHG Lekawada, Gandhinagar - IITM",117.00
